 2024/9/2 20:20:0, 26.30, 67.0
 2024/9/2 20:30:0, 26.30, 67.0
 2024/9/2 20:40:0, 26.30, 67.0
 2024/9/2 20:50:0, 26.20, 67.0
 2024/9/2 21:0:0, 26.20, 67.0
 2024/9/2 21:10:0, 26.20, 67.0
 2024/9/2 21:20:0, 26.20, 67.0
 2024/9/2 21:30:0, 26.20, 67.0
 2024/9/2 21:40:0, 26.20, 67.0
 2024/9/2 21:50:0, 26.30, 69.0
 2024/9/2 22:0:0, 26.40, 69.0
 2024/9/2 22:10:0, 26.50, 68.0
 2024/9/2 22:20:0, 26.50, 68.0
 2024/9/2 22:30:0, 26.50, 68.0
 2024/9/2 22:40:0, 26.70, 69.0
 2024/9/2 22:50:0, 26.80, 68.0
 2024/9/2 23:0:0, 26.70, 69.0
 2024/9/2 23:10:0, 26.70, 68.0
 2024/9/2 23:20:0, 26.60, 68.0
 2024/9/2 23:30:0, 26.70, 69.0
 2024/9/2 23:40:0, 26.70, 69.0
 2024/9/2 23:50:0, 26.70, 70.0
 2024/9/3 0:0:0, 26.80, 71.0
 2024/9/3 0:10:0, 26.80, 71.0
 2024/9/3 0:20:0, 26.80, 71.0
 2024/9/3 0:30:0, 26.80, 71.0
 2024/9/3 0:40:0, 26.80, 71.0
 2024/9/3 0:50:0, 26.80, 70.0
 2024/9/3 1:0:0, 26.80, 70.0
